Ticker;SimFinId;Date;Open;High;Low;Close;Adj. Close;Volume;Dividend;Shares Outstanding
A;45846;2025-03-21;119.38;120.78;117.92;120.75;120.75;3027493;;285102717
AA;367153;2025-03-21;33.93;34.08;33.45;33.95;33.95;4705416;;258884337
AAC;7962652;2023-11-06;10.77;10.79;10.77;10.79;10.79;599704;;98498541
AACI;11820349;2024-08-15;11.00;11.12;9.52;9.75;9.75;37879;;8072849
AACT;14122297;2025-03-21;11.16;11.20;11.16;11.18;11.18;18187;;62500000
AAGH;12444287;2025-03-21;0.00;0.00;0.00;0.00;0.00;0;;21188988326
AAIC;9076064;2023-12-14;4.84;4.84;4.84;4.84;4.84;0;;28468000
AAL;68568;2025-03-21;11.07;11.41;10.96;11.39;11.39;46818156;;657575582
AAM;18508049;2025-03-21;10.24;10.24;10.24;10.24;10.24;7771;;43974000
AAMC;847094;2024-09-16;1.33;1.34;1.21;1.25;1.25;18359;;2554512
AAME;450021;2025-03-21;1.42;1.45;1.31;1.37;1.37;17375;;20399758
AAN;441241;2024-10-03;10.08;10.10;10.08;10.09;10.09;2765717;;30712772
AAOI;671827;2025-03-21;20.77;20.77;19.65;20.43;20.43;3080045;;49651482
AAON;919501;2025-03-21;78.19;80.75;77.29;79.65;79.65;1555305;;81597289
AAP;184955;2025-03-21;37.33;37.98;37.09;37.46;37.46;1878287;;59792946
AAPL;111052;2025-03-21;211.56;218.84;211.28;218.27;218.27;93514422;;15022073000
AAT;919944;2025-03-21;20.40;20.48;20.06;20.25;20.25;987035;;60901583
AATP;16787005;2025-03-21;1.04;1.05;1.02;1.05;1.05;81327;;3848759
AAWH;2265764;2025-03-21;0.35;0.37;0.34;0.37;0.37;22999;;204626879
AAWW;762204;2023-04-03;102.48;102.48;102.48;102.48;102.48;1;;28436000
AB;11794966;2025-03-21;38.08;38.12;37.77;38.03;38.03;1491955;;110530329
ABAX;36105;2018-08-01;83.00;83.00;83.00;83.00;83.00;0;;22871000
ABBV;61199;2025-03-21;211.73;212.88;208.74;210.01;210.01;15800220;;1765354859
ABCB;919504;2025-03-21;56.89;57.92;56.61;57.78;57.78;971498;;69068609
ABCD;358762;2018-12-18;14.48;14.48;14.48;14.48;14.48;0;;47300262
ABCL;1250893;2025-03-21;2.37;2.47;2.32;2.44;2.44;3750476;;297987669
ABEO;953884;2025-03-21;5.10;5.35;5.08;5.15;5.15;570948;;48533798
ABEV;18515889;2025-03-21;2.33;2.36;2.32;2.36;2.36;13850108;;15757657336
ABG;545489;2025-03-21;229.42;234.37;227.99;233.76;233.76;379920;;19645447
ABIO;953886;2024-08-30;2.35;2.47;2.22;2.40;2.40;289415;;14507143
ABM;199984;2025-03-21;46.99;47.36;46.39;46.94;46.94;1236095;;62231437
ABMC;160965;2025-03-21;0.00;0.00;0.00;0.00;0.00;0;;48098476
ABMD;445587;2023-01-03;381.02;381.02;381.02;381.02;381.02;258;;45372000
ABML;11795344;2023-09-11;9.83;11.78;8.20;9.83;9.83;228892;;17808626
ABNB;1214552;2025-03-21;124.66;129.25;123.30;128.80;128.80;8686159;;635000000
